1;1,00;24,00;24,00;29,00;28,00;32,00;31,00;57,00;57,00;36,00;36,00;91,00;93,00;81,00;103,00;80,00;0,78;32,00;13,00;7,00;9,00;6,00;99,00
2;2,00;25,00;29,00;29,00;31,00;32,00;34,00;63,00;62,00;40,00;40,00;93,00;95,00;90,00;113,00;85,00;0,75;35,00;0,00;0,00;0,00;0,00;96,00
3;3,00;25,00;25,00;28,00;28,00;29,00;29,00;51,00;51,00;37,00;37,00;90,00;93,00;85,00;99,00;79,00;0,80;36,00;0,00;0,00;0,00;0,00;98,00
4;4,00;26,00;27,00;35,00;36,00;38,00;39,00;63,00;61,00;45,00;45,00;101,00;103,00;114,00;132,00;106,00;0,80;38,00;0,00;0,00;0,00;0,00;409,00
5;5,00;26,00;27,00;31,00;31,00;33,00;33,00;51,00;53,00;36,00;36,00;95,00;97,00;95,00;106,00;85,00;0,80;36,00;0,00;0,00;0,00;0,00;104,00
6;6,00;17,00;18,00;19,00;19,00;19,00;19,00;39,00;38,00;26,00;26,00;72,00;74,00;62,00;79,00;57,00;0,72;38,80;0,00;0,00;0,00;0,00;86,00
7;7,00;24,00;24,00;28,00;27,00;29,00;28,00;50,00;47,00;36,00;35,00;93,00;94,00;91,00;100,00;87,00;0,87;35,00;12,00;8,00;10,00;7,00;98,00
8;8,00;29,00;30,00;37,00;35,00;39,00;39,00;57,00;58,00;38,00;39,00;103,00;106,00;100,00;104,00;95,00;0,91;40,00;0,00;0,00;0,00;0,00;116,00
9;9,00;28,00;29,00;36,00;38,00;40,00;41,00;62,00;65,00;43,00;42,00;104,00;105,00;112,00;125,00;107,00;0,86;38,00;0,00;0,00;0,00;0,00;119,00
10;10,00;28,00;28,00;35,00;36,00;37,00;38,00;67,00;66,00;42,00;42,00;100,00;101,00;107,00;119,00;99,00;0,83;36,00;0,00;0,00;0,00;0,00;116,00
11;11,00;26,00;27,00;29,00;30,00;30,00;31,00;50,00;49,00;35,00;34,00;88,00;90,00;86,00;96,00;83,00;0,86;36,00;0,00;0,00;0,00;0,00;104,00
12;12,00;24,00;24,00;24,00;24,00;26,00;26,00;50,00;50,00;36,00;36,00;87,00;90,00;70,00;99,00;69,00;0,70;31,00;0,00;0,00;0,00;0,00;97,00
13;13,00;23,00;23,00;26,00;26,00;28,00;28,00;54,00;54,00;34,00;35,00;88,00;90,00;85,00;96,00;79,00;0,82;34,00;0,00;0,00;0,00;0,00;99,00
14;14,00;23,00;24,00;27,00;27,00;29,00;30,00;54,00;53,00;34,00;35,00;86,00;88,00;83,00;96,00;78,00;0,81;34,00;0,00;0,00;0,00;0,00;101,00
15;15,00;23,00;24,00;27,00;26,00;28,00;29,00;55,00;54,00;34,00;35,00;85,00;86,00;81,00;97,00;77,00;0,79;33,00;0,00;0,00;0,00;0,00;99,00
16;16,00;24,00;24,00;25,00;25,00;27,00;27,00;48,00;47,00;33,50;32,00;87,00;90,00;73,00;91,00;74,00;0,81;34,00;0,00;0,00;0,00;0,00;102,00
17;17,00;28,00;29,00;33,00;34,00;35,00;36,00;62,00;60,00;41,00;43,00;106,00;107,00;95,00;115,00;94,00;0,82;34,00;0,00;0,00;0,00;0,00;117,00
18;18,00;30,00;30,00;32,00;31,00;37,00;36,00;54,00;56,00;39,00;39,00;108,00;109,00;95,00;106,00;94,00;0,89;41,00;0,00;0,00;0,00;0,00;122,00
19;19,00;27,00;27,00;35,00;35,00;38,00;38,00;67,00;67,00;42,00;42,00;92,00;95,00;86,00;116,00;80,00;0,69;34,00;0,00;0,00;0,00;0,00;106,00
20;20,00;21,00;21,00;23,00;23,00;24,00;24,00;49,00;48,00;33,00;33,00;76,00;78,00;75,00;92,00;66,00;0,72;31,00;0,00;0,00;0,00;0,00;89,00
21;21,00;22,00;22,00;27,00;28,00;28,00;29,00;47,00;47,00;32,00;32,00;87,00;89,00;88,00;100,00;77,00;0,77;31,00;13,00;10,00;10,00;6,00;100,00
22;22,00;28,00;27,00;34,00;35,00;36,00;37,00;67,00;70,00;43,00;44,00;109,00;110,00;110,00;119,00;101,00;0,85;38,00;0,00;0,00;0,00;0,00;120,00
23;23,00;27,50;27,50;34,00;34,00;37,00;37,00;63,00;65,00;45,00;44,00;112,00;114,00;112,00;116,00;106,00;0,91;39,00;0,00;0,00;0,00;0,00;119,00
24;24,00;28,00;28,00;35,00;34,00;36,00;36,00;71,00;71,00;43,00;44,00;109,00;111,00;109,00;118,00;98,00;0,83;39,00;0,00;0,00;0,00;0,00;116,00
25;25,00;24,00;24,00;25,50;25,00;27,00;27,00;52,00;52,00;35,00;34,00;83,00;85,00;71,00;97,00;69,00;0,71;32,00;0,00;0,00;0,00;0,00;96,00
26;26,00;24,00;24,00;25,00;26,00;26,50;27,00;55,00;56,00;35,00;36,00;86,00;87,00;76,00;102,00;72,00;0,71;31,00;0,00;0,00;0,00;0,00;93,00
