path,size,type,confidence,reason
data/treinos_integrados.json,73842,text,low,not referenced by scanned text
data/treinos_prescritos.json,3,text,low,not referenced by scanned text
data/turmas.json,523,text,low,not referenced by scanned text
data/usuarios.json,1688,text,low,not referenced by scanned text
docs/ACESSO_V3.md,860,text,low,not referenced by scanned text
docs/ARQUITETURA_V3.md,705,text,low,not referenced by scanned text
docs/ASSETS_EXERCICIOS_V3.md,776,text,low,not referenced by scanned text
docs/auditoria-consolidacao-v2.json,25722,text,low,not referenced by scanned text
docs/CHECKLIST.md,472,text,low,not referenced by scanned text
docs/CONSOLIDACAO_V2_ETAPA4.md,2395,text,low,not referenced by scanned text
docs/Documentos - Atalho.lnk,805,other,low,not referenced by scanned text
docs/etapa5_4_matricula_integrada.md,1211,text,low,not referenced by scanned text
docs/etapa5_5_matricula_fluxo_ativo.md,1229,text,low,not referenced by scanned text
docs/etapa5_6_matricula_js.md,692,text,low,not referenced by scanned text
docs/ETAPA_5_1_BI_NORMALIZADO.txt,1082,text,low,not referenced by scanned text
docs/FRONTEND_V3.md,689,text,low,not referenced by scanned text
docs/FUSION_ERP_2_6_1_A_AUDITORIA_GERAL.md,637,text,low,not referenced by scanned text
docs/FUSION_ERP_2_6_1_B_PERFORMANCE.md,471,text,low,not referenced by scanned text
docs/FUSION_ERP_2_6_1_C_SEGURANCA.md,521,text,low,not referenced by scanned text
docs/FUSION_ERP_2_6_1_D_INTERFACE.md,508,text,low,not referenced by scanned text
docs/FUSION_ERP_2_6_A_CHECKIN_INTELIGENTE_MUSCULACAO.md,2069,text,low,not referenced by scanned text
docs/FUSION_ERP_2_6_A_FIX_SELECTS_CHECKIN.md,862,text,low,not referenced by scanned text
docs/FUSION_ERP_2_6_B1_EXECUCAO_ASSISTIDA_TREINO.md,1264,text,low,not referenced by scanned text
docs/FUSION_ERP_2_6_B2_EXECUCAO_ASSISTIDA_TREINO.md,981,text,low,not referenced by scanned text
docs/FUSION_ERP_2_6_C_REGISTRO_AUTOMATICO_CARGAS_PROGRESSAO.md,1156,text,low,not referenced by scanned text
docs/FUSION_ERP_2_6_G1_CONSOLIDACAO_BACKEND.md,1185,text,low,not referenced by scanned text
docs/FUSION_ERP_2_6_G2_CONSOLIDACAO_FRONTEND.md,695,text,low,not referenced by scanned text
docs/FUSION_ERP_2_6_G4_BUILD_FINAL.md,1626,text,low,not referenced by scanned text
docs/FUSION_ERP_2_7_4_AVALIACAO_FISICA_FINAL.md,1414,text,low,not referenced by scanned text
docs/FUSION_ERP_2_7_4_ZIP1_RESPONSIVIDADE_GLOBAL.md,1567,text,low,not referenced by scanned text
docs/FUSION_ERP_2_7_4_ZIP2_MOBILE_FIRST.md,1492,text,low,not referenced by scanned text
docs/FUSION_ERP_2_7_4_ZIP3_PWA.md,1211,text,low,not referenced by scanned text
docs/FUSION_ERP_2_7_4_ZIP4_PORTAL_PROFESSOR.md,1243,text,low,not referenced by scanned text
docs/FUSION_ERP_2_7_4_ZIP5_TREINOS_V3.md,1161,text,low,not referenced by scanned text
docs/FUSION_ERP_2_7_4_ZIP6_AVALIACAO_FISICA_V3.md,1240,text,low,not referenced by scanned text
docs/FUSION_ERP_2_7_4_ZIP7_RENDER.md,1665,text,low,not referenced by scanned text
docs/FUSION_ERP_2_7_5_TREINOS_V3_REFATORADO.md,1403,text,low,not referenced by scanned text
docs/FUSION_ERP_2_7_5_ZIP_A2_FINANCEIRO_PAGAMENTOS.md,672,text,low,not referenced by scanned text
docs/FUSION_ERP_2_7_5_ZIP_A_FINANCEIRO.md,1501,text,low,not referenced by scanned text
docs/FUSION_ERP_2_7_5_ZIP_B1_MENU_GLOBAL.md,725,text,low,not referenced by scanned text
docs/FUSION_ERP_2_7_5_ZIP_B2_MENU_GLOBAL.md,1352,text,low,not referenced by scanned text
docs/FUSION_ERP_2_7_5_ZIP_B3_2_MENU_ACCORDION_CORRIGIDO.md,884,text,low,not referenced by scanned text
docs/FUSION_ERP_2_7_5_ZIP_B3_MENU_GLOBAL_ACCORDION.md,838,text,low,not referenced by scanned text
docs/FUSION_ERP_2_7_5_ZIP_C1_LIMPEZA_PORTAL_PROFESSOR.md,920,text,low,not referenced by scanned text
docs/FUSION_ERP_2_7_5_ZIP_C2_PORTAL_PROFESSOR_TREINO_EDICAO.md,1055,text,low,not referenced by scanned text
docs/FUSION_ERP_2_7_5_ZIP_C3_TREINO_UNICO_ATIVO.md,1708,text,low,not referenced by scanned text
docs/FUSION_ERP_2_7_5_ZIP_C_PORTAL_PROFESSOR.md,998,text,low,not referenced by scanned text
docs/fusion_v2_etapa5_inicio_rotas_semiactivas.md,1372,text,low,not referenced by scanned text
docs/INSTALACAO.md,283,text,low,not referenced by scanned text
docs/INSTALACAO_UI_FOUNDATION.md,1174,text,low,not referenced by scanned text
docs/INSTRUCOES_ZIP_D.txt,1031,text,low,not referenced by scanned text
docs/INVENTARIO_ESTRUTURAL_V3.md,629,text,low,not referenced by scanned text
docs/LEIA-ME-ZIP-E.txt,1363,text,low,not referenced by scanned text
docs/LEIA-ME-ZIP-F.txt,912,text,low,not referenced by scanned text
docs/LEIA-ME-ZIP-G.txt,595,text,low,not referenced by scanned text
docs/manual-uso-local.md,4629,text,low,not referenced by scanned text
docs/MAPA_MODULOS.md,214,text,low,not referenced by scanned text
docs/MAPA_ROTAS.md,227,text,low,not referenced by scanned text
docs/PACOTE_LIMPO_V3.md,520,text,low,not referenced by scanned text
docs/PADRAO_BACKEND.md,272,text,low,not referenced by scanned text
docs/PADRAO_FRONTEND.md,251,text,low,not referenced by scanned text
docs/PATCH_LAYOUT_MENU.md,469,text,low,not referenced by scanned text
docs/PATCH_SERVER_MJS.md,1013,text,low,not referenced by scanned text
docs/PORTAIS_V3.md,708,text,low,not referenced by scanned text
docs/relatorio-etapa5-3-api-academia.md,1381,text,low,not referenced by scanned text
docs/relatorio-limpeza-codigo-nao-producao.md,1491,text,low,not referenced by scanned text
docs/relatorio-limpeza-producao-2026-07-02T12-01-56-729Z.json,1073,text,low,not referenced by scanned text
docs/RELATORIO_GIFS_V3.json,259,text,low,not referenced by scanned text
docs/ROTAS.md,868,text,low,not referenced by scanned text
docs/SEGURANCA_V3.md,700,text,low,not referenced by scanned text
docs/treinos-5-etapas-v1.md,955,text,low,not referenced by scanned text
docs/TREINOS_V3.md,847,text,low,not referenced by scanned text
docs/TREINOS_V3_CONSOLIDACAO.md,737,text,low,not referenced by scanned text
